Description,Weekend,Area,Age,Floor,Price
                        ahmediye'de 25 yıllık bina 4+2 190m2 kiralık teraslı dublex                      ,4 + 2,                          190 m2,25 Yaşında,                      4. Kat,              19.000              TL
                        ünalan emaar square resıdence eşyasız 1+1 kiralık                      ,1 + 1,                          90 m2,3 Yaşında,                      21 ve üzeri,              35.000              TL
                        üsküdar selimiye'de geniş kullanışlı aileye uygun 3+1 kiralık daire                      ,3 + 1,                          140 m2,20 Yaşında,                      Ara Kat,              9.500              TL
                        kiralık oda / mutlaka açıklamayı okuyun                      ,Stüdyo,                          25 m2,15 Yaşında,                      2. Kat,              3.000              TL
                        üsk valide bağ kunaklarında 1+1 70 m2 .havuzlu.otoparklı.tüm sporlar var.                      ,1 + 1,                          80 m2,1 Yaşında,                      Kot 1,              9.500              TL
                        3x1 kiralık üsküdar da                      ,3 + 1,                          100 m2,25 Yaşında,                      Giriş Katı,              6.000              TL
"                        çengelköy sahilde bogaz manzaralı,havuzlu yeni 3+1                      ",3 + 1,                          145 m2,15 Yaşında,                      1. Kat,              40.000              TL
                        üsküdar modern eşyalı kiralık 1+1 daire (823)                      ,1 + 1,                          66 m2,1 Yaşında,                      21 ve üzeri,              60.390              TL
"                        eminden,2+1,depreme dayanıklı,karanlık oda yok,balkonlu,kombili,                      ",2 + 1,                          105 m2,10 Yaşında,                      Yüksek Giriş,              9.250              TL
                        beylerbeyi sampiyon halısahanın yukarısında kiralık daire                      ,2 + 1,                          125 m2,40 Yaşında,                      3. Kat,              6.000              TL
                        tarihi semtte yaşam                      ,2 + 2,                          145 m2,40 Yaşında,                      En Üst Kat,              9.500              TL
"                        furnished duplex at çengelköydemesa2011'de,2+1,150sqm(for expat)                      ",2 + 1,                          150 m2,6 Yaşında,                      Kot 2,              35.000              TL
                        kandilli iskele karşısı kiralık boğaz manzaralı yol yalı dairesi                      ,2 + 1,                          100 m2,30 Yaşında,                      En Üst Kat,              15.000              TL
                        eşyalı kiralık 2+1 zeynepkamil de nobel gayrimenkulden                      ,2 + 1,                          80 m2,35 Yaşında,                      2. Kat,              9.500              TL
                        redstone gold üsküdar kuzguncuk eşyalı temiz 1+1 kiralık daire                      ,1 + 1,                          70 m2,35 Yaşında,                      En Üst Kat,              8.500              TL
                        çengelköy’de caddeye  1 dk yürüme mesafesinde  arakat  3+1                      ,3 + 1,                          150 m2,Sıfır Bina,                      5. Kat,              16.000              TL
                        merkezi konumda ana cadde üzerinde ara kat 2+1 full eşyalı daire                      ,2 + 1,                          100 m2,Sıfır Bina,                      1. Kat,              16.000              TL
"                        sahibinden, acıbadem 3+1 125m2                      ",3 + 1,                          140 m2,40 Yaşında,                      En Üst Kat,              9.000              TL
                        mesa çengelköy 2011 karşısında 0 binada 2+1 giriş kiralık daire                      ,2 + 1,                          110 m2,Sıfır Bina,                      Giriş Katı,              8.000              TL
                        koşuyolunda bahçeli müstakil 3+1                      ,3 + 1,                          140 m2,2 Yaşında,,              22.000              TL
                        barbaros mah. ana caddedede full yapılı asansörlü                      ,3 + 1,                          150 m2,26 Yaşında,                      2. Kat,              10.000              TL
Description,Weekend,Area,Age,Floor,Price
                        üsküdar salacak'ta yakında yenilenecek kiralık müstakil                      ,4 + 1,                          180 m2,31 Yaşında,                      Bahçe Katı,              35.000              TL
                        sahibinden çengelköy'de 3+1 150 metre kombili kapalı balkonlu daire                      ,3 + 1,                          159 m2,19 Yaşında,                      4. Kat,              4.500              TL
                        hüryap'tn validebağ konaklarında kiralık 4+1 teraslı dublex                      ,4 + 1,                          240 m2,2 Yaşında,                      4. Kat,              32.000              TL
                        üsküdar doğancılar' da kiralık 3+1 daire                      ,3 + 1,                          130 m2,30 Yaşında,                      Kot 1,              6.500              TL
                        metro metrobüs ve köprüye yakın kiralık sıfır 8750 konak                      ,2 + 1,                          90 m2,Sıfır Bina,                      3. Kat,              9.000              TL
                        barbaros mahallesi ana caddede içerisi sıfırlanmış daire                      ,3 + 1,                          150 m2,26 Yaşında,                      1. Kat,              9.000              TL
                        soyak göztepe'de sitenin en güzel köşe dubleksi 5+1                      ,5 + 1,                          220 m2,30 Yaşında,                      5. Kat,              16.500              TL
                        sevinç emlak.full eşyalı .baylar için paylaşımlı odalar 2+1 dz grş.tüm.faturalar.dahil                      ,2 + 1,                          90 m2,33 Yaşında,                      Giriş Katı,              1.300              TL
                        tek yetkili..platınumdan emaar square'de panoramik istanbul m                      ,3 + 1,                          215 m2,Sıfır Bina,                      21 ve üzeri,              155.000              TL
                        üsküdar’da boğaz manzaralı kiralık dubleks                      ,4 + 2,                          190 m2,1 Yaşında,                      Teras Katı,              14.500              TL
                        kiralık eşyalı emaar square 2+1 کرایه واحد مبله                      ,2 + 1,                          136 m2,2 Yaşında,                      9. Kat,              30.000              TL
                        emaar adress residence full mobilyalı ultra lüks kiralık 1+1                      ,1 + 1,                          95 m2,Sıfır Bina,                      19. Kat,              50.000              TL
"                        emaar the address resıdence ıstanbul ,fully furnıshed 1 bedroom resıdence for rent                      ",1 + 1,                          90 m2,Sıfır Bina,                      21 ve üzeri,              35.000              TL
"                        asiltürk den bağlarbaşı validei atikte manzaralı 1+1,60m2 teras katı                      ",1 + 1,                          60 m2,32 Yaşında,                      Çatı Katı,              4.500              TL
                        emaar square the address full eşyalı kiralık 2+1 deniz manzaralı                      ,2 + 1,                          164 m2,Sıfır Bina,                      15. Kat,              60.000              TL
"                        teletaş çamlıca sitesi, otoparklı, 3.5+1 arakat, metroya yakın !                      ",3 + 1,                          140 m2,30 Yaşında,                      Ara Kat,              8.200              TL
                        emaar adress residence full mobilyalı ultra lüks kiralık 2+1                      ,2 + 1,                          160 m2,20 Yaşında,                      20. Kat,              65.000              TL
                        emaar the adress istanbul residence kiralık yüksek kat 1+1 / lux                      ,1 + 1,                          96 m2,Sıfır Bina,                      Ara Kat,              28.000              TL
                        üsküdar vapur iskele karşısı kiralık daire                      ,2 + 1,                          110 m2,30 Yaşında,                      Giriş Katı,              10.000              TL
                        geniş aileler için validebağ konaklarında kiralık 4+1 daire                      ,4 + 1,                          200 m2,2 Yaşında,                      6. Kat,              32.000              TL
"                        çamlıca'da saatlik,günlük toplantı odası kullanımı 6 kişilik                      ",1 + 1,                          270 m2,10 Yaşında,                      Ara Kat,              80              TL
                        üsküdar meydanda kiralık marmaray istasyonu karşısı cadde 682m2                      ,10 + 2,                          682 m2,25 Yaşında,,              50.000              TL
                        fıstıkağcında ana caddenin hemen arkasında yeni bina 3+1 kiralık dubleks                      ,3 + 1,                          165 m2,4 Yaşında,                      3. Kat,              13.500              TL
"                        üsküdar kandilli'de güvenlikli, kapalı garajlı, havuzlu site'de boğaz manzaralı  kiralık villa                      ",5 + 3,                          550 m2,14 Yaşında,,              80.000              TL
Description,Weekend,Area,Age,Floor,Price
                        nefes çengelköy boğaz manzaralı kiralık 3+1                      ,3 + 1,                          112 m2,Sıfır Bina,                      5. Kat,              15.000              TL
"                        salacak kiralık deniz manzaralı tertemiz 4+2, 220m2                      ",4 + 2,                          220 m2,45 Yaşında,                      3. Kat,              20.000              TL
                        küçüksuda prestijli yeni yapım sitede  136m2 3+1 arakat daire                      ,3 + 1,                          136 m2,Sıfır Bina,                      1. Kat,              12.750              TL
                        salacakta deniz manzaralı bahçe katı                      ,1 + 1,                          85 m2,Sıfır Bina,                      Bahçe Katı,              12.000              TL
                        bahçelievlerde geniş ferah 3+1 kiralık daire                      ,3 + 1,                          150 m2,Sıfır Bina,                      4. Kat,              16.000              TL
                        kandilli sahilde kiralık 457m2 rıhtımlı havuzlu yalıdairesi /lux                      ,5 + 1,                          457 m2,3 Yaşında,                      Giriş Katı,              375.000              TL
                        kirialık 1+1                      ,1 + 1,                          70 m2,10 Yaşında,                      Zemin,              5.500              TL
                        kiralık eşyalı emaar square 3+1 کرایه واحد مبله                      ,3 + 1,                          177 m2,Sıfır Bina,                      21 ve üzeri,              67.500              TL
                        emaar square kiralık full eşyalı 2+1 ultra lüks rezidans                      ,2 + 1,                          125 m2,3 Yaşında,                      5. Kat,              48.000              TL
                        çengelköy park villalarında kiralık bahçe kullanımlı 4+2 bahçe dubleks                      ,4 + 2,                          263 m2,Sıfır Bina,                      Bahçe Katı,              60.000              TL
                        sevinç emlak.1300.tl paylaşımlı.bayanlara kiralık.odalar.üsk.merkeze.yakın                      ,3 + 1,                          150 m2,20 Yaşında,                      Giriş Katı,              1.300              TL
                        devadan zeynep kamil hast.yakın temiz balkonlu geniş otoparklı                      ,2 + 1,                          120 m2,35 Yaşında,                      4. Kat,              6.500              TL
                        üsküdar çengelköy panjurlu ankastre mutfaklı 2+1 kiralık daire                      ,2 + 1,                          90 m2,3 Yaşında,                      3. Kat,              11.500              TL
                        kiralık eşyalı emaar square 2+1 کرایه واحد مبله                      ,2 + 1,                          150 m2,Sıfır Bina,                      15. Kat,              47.500              TL
                        kiralık dupleks daire 3+1 deniz manzaralı                      ,3 + 1,                          130 m2,35 Yaşında,                      Giriş Katı,              20.000              TL
                        kandillide kiralık boğaz manzaralı otoparklı havuzlu şık yol yalı dairesi                      ,4 + 1,                          190 m2,31 Yaşında,                      3. Kat,              55.000              TL
                        validebağ konakları boş kiralık dublex manzaralı 4+1 daire                      ,4 + 1,                          200 m2,2 Yaşında,                      6. Kat,              35.000              TL
                        üsküdar da bayan yanı oda arıyorum                      ,1 + 1,                          100 m2,30 Yaşında,                      Yüksek Giriş,              2.500              TL
                        üsküdar burhaniye de metro ve metrobüse yakın 2+1 kiralık daire                      ,2 + 1,                          85 m2,1 Yaşında,                      3. Kat,              9.400              TL
                        f-l emlaktan arakat 2+1 metroya 12dk yürüme mesafesinde                      ,2 + 1,                          90 m2,25 Yaşında,                      2. Kat,              6.500              TL
                        kiralık eşyalı emaar square 2+1 کرایه واحد مبله                      ,2 + 1,                          150 m2,Sıfır Bina,                      13. Kat,              47.500              TL
                        üsküdar selimiye de 4+1 sıfır asansörlü - teraslı harika dublex                      ,4 + 1,                          214 m2,3 Yaşında,                      4. Kat,              15.000              TL
                        kuzguncuk'da komple yenilenmiş özel dekorasyon 200m2 müstakil ev                      ,4 + 1,                          200 m2,30 Yaşında,,              47.500              TL
                        ünalan emaar square residence modern eşyalı kiralık 1+1 daire (317)                      ,1 + 1,                          62 m2,4 Yaşında,                      21 ve üzeri,              36.230              TL
Description,Weekend,Area,Age,Floor,Price
                        üsküdar mimar sinan da kiralık 4+1 dubleks daire                      ,4 + 1,                          180 m2,15 Yaşında,                      Çatı Katı,              15.000              TL
                        acıbadem full eşyalı otoparklı daire                      ,1 + 1,                          55 m2,25 Yaşında,                      Yarı Bodrum,              5.000              TL
                        çengelköy de 240 m2____ tertemiz 4+1____ şehir manzaralı dublex                      ,4 + 1,                          240 m2,3 Yaşında,                      4. Kat,              16.000              TL
"                        eminden,hastaneye yakın,1+0,bahçe katı,sadece bayana                      ",Stüdyo,                          35 m2,35 Yaşında,                      Bahçe Katı,              1.650              TL
                        kandilli’de işyerine uygun otoparklı  kiralık bina                      ,10 + 4,                          480 m2,16 Yaşında,,              40.000              TL
                        emr    anadolu üsküdar selimiye de 2+2 145 m2 kiralık daire                      ,2 + 2,                          145 m2,31 Yaşında,                      4. Kat,              9.500              TL
                        kadıköy koşuyulu validebağ  korusuna yakın  3/1 dire                      ,3 + 1,                          105 m2,30 Yaşında,                      2. Kat,              11.000              TL
                        evim’den merkezde giriş daire                      ,2 + 1,                          90 m2,40 Yaşında,                      Giriş Katı,              8.750              TL
                        çengelköy bahçelievler mevkiinde sıfır binada 3 oda 1 salon ara kat kiralık daire.                      ,3 + 1,                          150 m2,Sıfır Bina,                      3. Kat,              16.000              TL
                        uskudar belediye ve nevcarsiya yakın 2+1 arakat                      ,2 + 1,                          75 m2,30 Yaşında,                      Yüksek Giriş,              6.350              TL
                        kiralik daiere 3+1                      ,3 + 1,                          140 m2,2 Yaşında,                      1. Kat,              14.250              TL
                        üsküdar zeynep kamil 2+1 sıfır tadilatlı kiralık daire(2 balkon)                      ,2 + 1,                          90 m2,30 Yaşında,                      4. Kat,              7.000              TL
                        üsküdar selimiye daye kadın sokak full eşyalı 3 ay depozito noter den kontrat                      ,1 + 1,                          80 m2,25 Yaşında,                      Bahçe Katı,              6.500              TL
                        kandilli küçüksu'da köprü manzaralı 4+1 dubleks rgy ınvest a2105                      ,4 + 1,                          240 m2,15 Yaşında,                      Bahçe Katı,              20.000              TL
                        sevinç emlak üsk.  fuul  eşyalı .merkeze yakın.v atik mah. 3+1 1.kt.90 m2.paylaşımlı.odalar                      ,3 + 1,                          100 m2,25 Yaşında,                      1. Kat,              1.300              TL
                        ofton elysium serene kandilli 164 m² 3+1 eşyalı daire                      ,3 + 1,                          200 m2,10 Yaşında,                      En Üst Kat,              40.000              TL
                        çengelköy'de yol yalı konumunda 2+1 ful eşyalı kiralık daire                      ,2 + 1,                          130 m2,30 Yaşında,                      1. Kat,              20.000              TL
                        küplücede  3+1 100m2                      ,3 + 1,                          100 m2,26 Yaşında,                      1. Kat,              6.850              TL
                        küplüce durağa yakın 3+1 100m2                      ,3 + 1,                          100 m2,26 Yaşında,                      1. Kat,              6.850              TL
                        haritada konumda 135 m2 4-1                      ,4 + 1,                          145 m2,Sıfır Bina,                      4. Kat,              14.000              TL
                        icadiyede 1+1 eşyalı kombili yüksek giriş bekara öğrenciye calisana                      ,1 + 1,                          75 m2,30 Yaşında,                      Yüksek Giriş,              5.900              TL
                        kandilli'de geniş rıhtımlı kiralık 460 m2 lüks yalı                      ,6 + 1,                          460 m2,25 Yaşında,,              430.000              TL
                        ayıkcan'dan beylerbeyi'nde yeşil bahçe içinde yalı dairesi                      ,3 + 1,                          165 m2,40 Yaşında,                      2. Kat,              70.000              TL
                        emaar address resıdence fully furnıshed 2+1                      ,2 + 1,                          140 m2,Sıfır Bina,                      16. Kat,              58.500              TL
Description,Weekend,Area,Age,Floor,Price
"                        nakkaştepe prestijli sitede, sıfır kiralık villa                      ",8 + 2,                          900 m2,4 Yaşında,,              85.000              TL
                        feti paşa korusu üstü muhteşem villa tarihi bina içi özel yapım                      ,5 + 1,                          300 m2,10 Yaşında,,              40.000              TL
                        üsküdar fethi paşa üstü deniz manzaralı 5+1 eşyalı muhteşem kiralık villa                      ,5 + 1,                          300 m2,20 Yaşında,,              45.000              TL
                        üsküdar zeynep kamil 1+1 full eşyalı kiralık daire(evcil hayvana uygun)                      ,1 + 1,                          75 m2,30 Yaşında,                      Bahçe Katı,              6.500              TL
                        üsküdar merkez marmaray metroya yakın kiralık ara kat daire  2+1 90m2                      ,2 + 1,                          90 m2,30 Yaşında,                      3. Kat,              8.000              TL
                        muhteşem havuzlu rıhtımlı yalıda tiripleks yalı dairesi                      ,5 + 1,                          500 m2,38 Yaşında,                      3. Kat,              320.000              TL
                        üsküdar selimiye'de deniz manzaralı kiralık dubleks daire                      ,3 + 1,                          160 m2,30 Yaşında,                      Teras Katı,              20.000              TL
                        üsküdar harem'de paylaşımlı bayan apart oda                      ,Stüdyo,                          36 m2,15 Yaşında,                      Ara Kat,              2.600              TL
                        üsküdar selimiye de full eşyalı paylaşımlı bayan apart oda                      ,Stüdyo,                          35 m2,10 Yaşında,                      Ara Kat,              2.000              TL
